Location,Population,Urban population,Density,Median age,Migrants
Lebanon,6825445.0,5353116.0,667.0,29.6,-30268.0
Liberia,5057681.0,2658561.0,53.0,19.4,-5000.0
Libya,6871292.0,5375771.0,4.0,28.8,-1999.0
Liechtenstein,38128.0,5571.0,238.0,,
Lithuania,2722289.0,1940986.0,43.0,45.1,-32780.0
Luxembourg,625978.0,552328.0,242.0,39.7,9741.0
Macedonia,2083374.0,1221133.0,83.0,39.1,-1000.0
Madagascar,27691018.0,10670252.0,48.0,19.6,-1500.0
Malawi,19129952.0,3534836.0,203.0,18.1,
Malaysia,32365999.0,25361963.0,99.0,30.3,50000.0
Maldives,540544.0,186634.0,1802.0,29.9,11370.0
Mali,20250833.0,8906636.0,17.0,16.3,-40000.0
Malta,441543.0,411533.0,1380.0,42.6,900.0
Mauritania,4649658.0,2646714.0,5.0,20.1,5000.0
Mauritius,1271768.0,519330.0,626.0,37.5,0.0
Mexico,128932753.0,108074410.0,66.0,29.2,-60000.0
Moldova,4033963.0,1721540.0,123.0,37.6,-1387.0
Monaco,39242.0,,26337.0,,
Mongolia,3278290.0,2203469.0,2.0,28.2,-852.0
Montenegro,628066.0,424767.0,47.0,38.8,-480.0
Montserrat,4992.0,478.0,50.0,,
Morocco,36910560.0,23551599.0,83.0,29.5,-51419.0
Mozambique,31255435.0,11978439.0,40.0,17.6,-5000.0
Myanmar,54409800.0,17068066.0,83.0,29.0,-163313.0
Namibia,2540905.0,1403099.0,3.0,21.8,-4806.0
Nepal,29136808.0,6226233.0,203.0,24.6,41710.0
Netherlands,17134872.0,15847281.0,508.0,43.3,16000.0
New Caledonia,285498.0,205195.0,16.0,33.6,502.0
New Zealand,4822233.0,4191405.0,18.0,38.0,14881.0
Nicaragua,6624554.0,3786513.0,55.0,26.5,-21272.0
Niger,24206644.0,4002638.0,19.0,15.2,4000.0
Nigeria,206139589.0,107112526.0,226.0,18.1,-60000.0
Northern Mariana Islands,,,,,
Norway,5421241.0,4521838.0,15.0,39.8,28000.0
Oman,5106626.0,4442970.0,16.0,30.6,87400.0
Pakistan,220892340.0,77437729.0,287.0,22.8,-233379.0
Palestine,5101414.0,4083476.0,847.0,20.8,-10563.0
Panama,4314767.0,2934512.0,58.0,29.7,11200.0
Papua New Guinea,8947024.0,1168469.0,20.0,22.4,-800.0
Paraguay,7132538.0,4394032.0,18.0,26.3,-16556.0
Peru,32971854.0,26082479.0,26.0,31.0,99069.0
Philippines,109581078.0,52008603.0,368.0,25.7,-67152.0
Poland,37846611.0,22781639.0,124.0,41.7,-29395.0
Portugal,10196709.0,6775807.0,111.0,46.2,-6000.0
Puerto Rico,2860853.0,,323.0,44.5,-97986.0
Qatar,2881053.0,2770452.0,248.0,32.3,40000.0
Romania,19237691.0,10507365.0,84.0,43.2,-73999.0
Russia,145934462.0,107486269.0,9.0,39.6,182456.0
Rwanda,12952218.0,2281330.0,525.0,20.0,-9000.0
Saint Kitts and Nevis,53199.0,17523.0,205.0,,
Saint Lucia,183627.0,34141.0,301.0,34.5,0.0
