location,Population,Urban population,Density  (P/Km²) ,Median age,Migrants (net) 
Liberia,5057681.00,2658561.00,53.00,19.40,-5000.00
Libya,6871292.00,5375771.00,4.00,28.80,-1999.00
Liechtenstein,38128.00,5571.00,238.00,,
Lithuania,2722289.00,1940986.00,43.00,45.10,-32780.00
Luxembourg,625978.00,552328.00,242.00,39.70,9741.00
Macedonia,2083374.00,1221133.00,83.00,39.10,-1000.00
Madagascar,27691018.00,10670252.00,48.00,19.60,-1500.00
Malawi,19129952.00,3534836.00,203.00,18.10,
Malaysia,32365999.00,25361963.00,99.00,30.30,50000.00
Maldives,540544.00,186634.00,1802.00,29.90,11370.00
Mali,20250833.00,8906636.00,17.00,16.30,-40000.00
Malta,441543.00,411533.00,1380.00,42.60,900.00
Mariana Islands,57559.00,50808.00,125.00,,
Mauritania,4649658.00,2646714.00,5.00,20.10,5000.00
Mauritius,1271768.00,519330.00,626.00,37.50,0.00
Mexico,128932753.00,108074410.00,66.00,29.20,-60000.00
Moldova,4033963.00,1721540.00,123.00,37.60,-1387.00
Monaco,39242.00,,26337.00,,
Mongolia,3278290.00,2203469.00,2.00,28.20,-852.00
Montenegro,628066.00,424767.00,47.00,38.80,-480.00
Montserrat,4992.00,478.00,50.00,,
Morocco,36910560.00,23551599.00,83.00,29.50,-51419.00
Mozambique,31255435.00,11978439.00,40.00,17.60,-5000.00
Myanmar,54409800.00,17068066.00,83.00,29.00,-163313.00
Namibia,2540905.00,1403099.00,3.00,21.80,-4806.00
Nepal,29136808.00,6226233.00,203.00,24.60,41710.00
Netherlands,17134872.00,15847281.00,508.00,43.30,16000.00
New Caledonia,285498.00,205195.00,16.00,33.60,502.00
New Zealand,4822233.00,4191405.00,18.00,38.00,14881.00
Nicaragua,6624554.00,3786513.00,55.00,26.50,-21272.00
Niger,24206644.00,4002638.00,19.00,15.20,4000.00
Nigeria,206139589.00,107112526.00,226.00,18.10,-60000.00
Norway,5421241.00,4521838.00,15.00,39.80,28000.00
Oman,5106626.00,4442970.00,16.00,30.60,87400.00
Pakistan,220892340.00,77437729.00,287.00,22.80,-233379.00
Palestine,5101414.00,4083476.00,847.00,20.80,-10563.00
Panama,4314767.00,2934512.00,58.00,29.70,11200.00
Papua New Guinea,8947024.00,1168469.00,20.00,22.40,-800.00
