location,Population,Urban population,Density  (P/Km²) ,Median age,Migrants (net) ,,,,,,,,,2019-12-31,,,,,2020-01-01,,,,,2020-01-02,,,,,2020-01-03,,,,,2020-01-04 ,,,,,2020-01-05 ,,,,,2020-01-06,,,,,2020-01-07,,,,,2020-01-08,,,,,2020-01-09,,,,,2020-01-10,,,,,2020-01-11,,,,,2020-01-12,,,,,2020-01-13,,,,,2020-01-14,,,,,2020-01-15,,,,,2020-01-16,,,,,2020-01-17,,,,,2020-01-18,,,,,2020-01-19,,,,,2020-01-20,,,,,2020-01-21,,,,,2020-01-22,,,,,2020-01-23,,,,,2020-01-24,,,,,2020-01-25,,,,,2020-01-26,,,,,2020-01-27,,,,,2020-01-28,,,,,2020-01-29,,,,,2020-01-30,,,,,2020-01-31,,,,,2020-02-01,,,,,2020-02-02,,,,,2020-02-03,,,,,2020-02-04 ,,,,,2020-02-05 ,,,,,2020-02-06,,,,,2020-02-07,,,,,2020-02-08,,,,,2020-02-09,,,,,2020-02-10,,,,,2020-02-11,,,,,2020-02-12,,,,,2020-02-13,,,,,2020-02-14,,,,,2020-02-15,,,,,2020-02-16,,,,,2020-02-17,,,,,2020-02-18,,,,,2020-02-19,,,,,2020-02-20,,,,,2020-02-21,,,,,2020-02-22,,,,,2020-02-23,,,,,2020-02-24,,,,,2020-02-25,,,,,2020-02-26,,,,,2020-02-27,,,,,2020-02-28,,,,,2020-02-29,,,,,2020-03-01,,,,,2020-03-02,,,,,2020-03-03,,,,,2020-03-04 ,,,,,2020-03-05 ,,,,,2020-03-06,,,,,2020-03-07,,,,,2020-03-08,,,,,2020-03-09,,,,,2020-03-10,,,,,2020-03-11,,,,,2020-03-12,,,,,2020-03-13,,,,,2020-03-14,,,,,2020-03-15,,,,,2020-03-16,,,,,2020-03-17,,,,,2020-03-18,,,,,2020-03-19,,,,,2020-03-20,,,,,2020-03-21,,,,,2020-03-22,,,,,2020-03-23,,,,,2020-03-24,,,,,2020-03-25,,,,,2020-03-26,,,,,2020-03-27,,,,,2020-03-28,,,,,2020-03-29,,,,,2020-03-30,,,,,2020-03-31,,,,,2020-04-01,,,,,2020-04-02,,,,,2020-04-03,,,,,2020-04-04,,,,,2020-04-05,,,,,2020-04-06,,,,,2020-04-07,,,,,2020-04-08,,,,,2020-04-09,,,,,2020-04-10,,,,,2020-04-11,,,,,2020-04-12,,,,,2020-04-13,,,,
,,,,,,Temperature,Feels_Like,Min_Temperature,Max_Temperature,Pressure(PHa),Humimdity,GDP_PC_2018,CHE_PC_2017,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature,new_cases,new_deaths,total_cases,total_deaths,temperature
Kuwait,"4,270,571",N.A.,240,36.8,"39,520",26.46,25.63,26,27,1010,47,33994.4065667831,1529.1,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,3,0,3,0,,2,0,5,0,,6,0,11,0,,15,0,26,0,,17,0,43,0,,2,0,45,0,,0,0,45,0,,1,0,46,0,,10,0,56,0,,,,,,,,,,,,2,0,58,0,,,,,,,3,0,61,0,,3,0,64,0,,1,0,65,0,,4,0,69,0,,3,0,72,0,,8,0,80,0,,20,0,100,0,,4,0,104,0,,8,0,112,0,,11,0,123,0,,7,0,130,0,,12,0,142,0,,6,0,148,0,,11,0,159,0,,17,0,176,0,,12,0,188,0,,1,0,189,0,,2,0,191,0,,4,0,195,0,,13,0,208,0,,17,0,225,0,,10,0,235,0,,20,0,255,0,,11,0,266,0,,23,0,289,0,,28,0,317,0,,25,0,342,0,,0,0,342,0,,137,1,479,1,,77,0,556,1,,109,0,665,1,,78,0,743,1,,112,0,855,1,,55,0,910,1,,83,0,993,1,,161,0,1154,1,,80,0,1234,1,
Kyrgyzstan,"6,524,195","2,322,557",34,26.0,"-4,000",12,9.5,12,12,1020,93,,78.8,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,3,0,3,0,,3,0,6,0,,0,0,6,0,,8,0,14,0,,0,0,14,0,,2,0,16,0,,26,0,42,0,,2,0,44,0,,0,0,44,0,,14,0,58,0,,26,0,84,0,,0,0,84,0,,0,0,84,0,,23,0,107,0,,5,1,112,1,,13,0,125,1,,19,0,144,1,,0,0,144,1,,72,3,216,4,,12,0,228,4,,42,0,270,4,,10,0,280,4,,18,1,298,5,,41,0,339,5,,38,0,377,5,,42,0,419,5,
Laos,"7,275,560","2,600,131",32,24.4,"-14,704",27.78,30.76,27.78,27.78,992,68,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,2,0,2,0,,0,0,2,0,,4,0,6,0,,0,0,6,0,,0,0,6,0,,0,0,6,0,,3,0,9,0,,0,0,9,0,,1,0,10,0,,0,0,10,0,,0,0,10,0,,0,0,10,0,,1,0,11,0,,1,0,12,0,,0,0,12,0,,3,0,15,0,,1,0,16,0,,0,0,16,0,,2,0,18,0,,1,0,19,0,
Latvia,"1,886,198","1,293,197",30,43.9,"-14,837",13.67,8.15,10,17,1021,33,17860.6171980214,930.4,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,0,2,0,,1,0,3,0,,3,0,6,0,,2,0,8,0,,2,0,10,0,,6,0,16,0,,3,0,19,0,,7,0,26,0,,5,0,31,0,,5,0,36,0,,25,0,61,0,,10,0,71,0,,15,0,86,0,,25,0,111,0,,13,0,124,0,,15,0,139,0,,41,0,180,0,,17,0,197,0,,24,0,221,0,,23,0,244,0,,36,0,280,0,,25,0,305,0,,71,0,376,0,,0,0,376,0,,22,0,398,0,,48,0,446,0,,12,0,458,0,,35,1,493,1,,16,0,509,1,,24,0,533,1,,9,0,542,1,,6,1,548,2,,29,0,577,2,,12,0,589,2,,23,0,612,2,,18,1,630,3,,21,2,651,5,
Lebanon,"6,825,445","5,353,116",667,29.6,"-30,268",14.07,11.72,6.11,19,1016,59,8269.7876755192,719.4,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,0,1,0,,0,0,1,0,,0,0,1,0,,0,0,1,0,,0,0,1,0,,1,0,2,0,,1,0,3,0,,0,0,3,0,,1,0,4,0,,6,0,10,0,,3,0,13,0,,,,,,,,,,,,3,0,16,0,,6,0,22,0,,,,,,,10,0,32,0,,9,0,41,0,,0,1,41,1,,20,1,61,2,,5,0,66,2,,,,,,,27,1,93,3,,6,0,99,3,,21,0,120,3,,0,0,120,3,,13,1,133,4,,16,0,149,4,,14,0,163,4,,67,0,230,4,,18,0,248,4,,19,0,267,4,,37,0,304,4,,29,0,333,4,,35,2,368,6,,23,1,391,7,,21,1,412,8,,26,2,438,10,,8,1,446,11,,17,1,463,12,,16,0,479,12,,15,4,494,16,,0,0,494,16,,26,1,520,17,,7,1,527,18,,14,1,541,19,,7,0,548,19,,27,0,575,19,,7,0,582,19,,27,1,609,20,,10,0,619,20,,11,0,630,20,
Liberia,"5,057,681","2,658,561",53,19.4,"-5,000",30,33.45,30,30,1009,79,677.3221785454,56.6,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,0,1,0,,1,0,2,0,,0,0,2,0,,0,0,2,0,,0,0,2,0,,1,0,3,0,,0,0,3,0,,0,0,3,0,,0,0,3,0,,0,0,3,0,,0,0,3,0,,0,0,3,0,,0,0,3,0,,0,0,3,0,,0,0,3,0,,0,0,3,0,,3,0,6,0,,0,0,6,0,,1,0,7,0,,3,1,10,1,,3,2,13,3,,1,0,14,3,,0,0,14,3,,17,1,31,4,,0,0,31,4,,6,0,37,4,,11,1,48,5,,2,0,50,5,
Libya,"6,871,292","5,375,771",4,28.8,"-1,999",15.89,11.72,15.89,15.89,1024,68,7241.7044811302,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,0,1,0,,0,0,1,0,,0,0,1,0,,0,0,1,0,,0,0,1,0,,7,0,8,0,,0,0,8,0,,2,0,10,0,,0,0,10,0,,1,1,11,1,,0,0,11,1,,7,0,18,1,,0,0,18,1,,0,0,18,1,,1,0,19,1,,2,0,21,1,,3,0,24,1,,0,0,24,1,,1,0,25,1,,0,0,25,1,
Liechtenstein,"38,128","5,571",238,,,18.44,14.99,15.56,20,1025,34,,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,3,0,,1,0,4,0,,0,0,4,0,,0,0,4,0,,3,0,7,0,,0,0,7,0,,0,0,7,0,,18,0,25,0,,0,0,25,0,,9,0,34,0,,2,0,36,0,,10,0,46,0,,0,0,46,0,,1,0,47,0,,4,0,51,0,,5,0,56,0,,4,0,60,0,,1,0,61,0,,1,0,62,0,,2,0,64,0,,4,0,68,0,,4,0,72,0,,3,0,75,0,,0,0,75,0,,2,1,77,1,,1,0,78,1,,0,0,78,1,,0,0,78,1,,1,0,79,1,,0,0,79,1,,1,0,80,1,,0,0,80,1,,0,0,80,1,
Lithuania,"2,722,289","1,940,986",43,45.1,"-32,780",17.63,11.72,17.22,18,1025,25,19153.4089860651,1078.2,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,0,1,0,,0,0,1,0,,0,0,1,0,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,3,0,,0,0,3,0,,,,,,,3,0,6,0,,3,0,9,0,,5,0,14,0,,3,0,17,0,,8,0,25,0,,8,0,33,0,,15,0,48,0,,21,1,69,1,,36,0,105,1,,38,0,143,1,,36,0,179,1,,30,1,209,2,,65,2,274,4,,25,0,299,4,,59,1,358,5,,36,2,394,7,,90,0,484,7,,0,0,484,7,,49,0,533,7,,48,1,581,8,,68,1,649,9,,122,0,771,9,,0,0,771,9,,40,4,811,13,,32,1,843,14,,37,1,880,15,,32,0,912,15,,43,0,955,15,,44,2,999,17,,54,6,1053,23,,9,1,1062,24,
Luxembourg,"625,978","552,328",242,39.7,"9,741",21.09,16.24,17.78,23.33,1027,33,116639.88804711,5782.6,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,0,1,0,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,2,0,3,0,,,,,,,2,0,5,0,,,,,,,2,0,7,0,,0,0,7,0,,19,0,26,0,,12,1,38,1,,,,,,,39,0,77,1,,4,0,81,1,,59,0,140,1,,70,1,210,2,,135,2,345,4,,139,1,484,5,,186,3,670,8,,128,0,798,8,,77,0,875,8,,224,0,1099,8,,234,0,1333,8,,120,1,1453,9,,152,6,1605,15,,226,3,1831,18,,119,3,1950,21,,38,1,1988,22,,190,1,2178,23,,141,6,2319,29,,168,1,2487,30,,125,1,2612,31,,117,0,2729,31,,75,5,2804,36,,32,1,843,14,,37,1,880,15,,32,0,912,15,,43,0,955,15,,44,2,999,17,,54,6,1053,23,,9,1,1062,24,
